,"CN","BLO","Bailuo","Bailuo","HB","1-------","RL","1401",,,
,"CN","BLU","Beiliu","Beiliu","SX","--3-----","RL","0601",,"3529N 11233E",
,"CN","BLX","Honghai Pt","Honghai Pt","GD","1-------","AS","1407",,"2310N 11416E",
,"CN","BMJ","Baimajing","Baimajing","HI","1-3-----","RL","1401",,"1942N 10913E",
,"CN","BOA","Boao","Boao","HI","1-------","RL","1401",,,
,"CN","BOB","Bobai","Bobai","45","--3-----","RL","0901",,"2216N 10958E",
,"CN","BOJ","Baoji","Baoji","SN","-----6--","AS","1401",,"3422N 10709E",
,"CN","BON","Bao'an","Bao'an","GD","--3-----","RL","0307",,"2455N 11223E",
,"CN","BOO","Boluo","Boluo","GD","-23-----","RL","0907",,"2310N 11416E",
,"CN","BOS","Bose","Bose","45","--3-----","RL","0901",,"2353N 10636E",
,"CN","BOT","Baotou","Baotou","NM","-----6--","AS","1601",,"4039N 10949E",
,"CN","BOZ","Bozhou","Bozhou","34","--3-----","RL","0901",,"3352N 11546E",
,"CN","BPX","Bangda","Bangda","XZ","---4----","RL","0907",,"3033N 09707E",
,"CN","BQI","Baoqing","Baoqing","HL","-----6--","RL","1107",,"4619N 13212E",
,"CN","BRJ","Burqin","Burqin","XJ","--3-----","RL","1401",,"4743N 08653E",
,"CN","BSD","Baoshan Pt","Baoshan Pt","SH","1-------","AS","1601",,"3125N 12129E",
,"CN","BSE","Baise","Baise","GX","1-------","RL","1401",,,
,"CN","BSH","Baishan","Baishan","22","--3-----","RL","0901",,"4606N 12805E",
,"CN","BSI","Baishi","Baishi","HL","1-------","RL","1401",,,
,"CN","BSP","Basuo Pt","Basuo Pt","HI","1-------","AS","1407",,"1900N 10837E",
,"CN","BSX","Bayin","Bayin","NM","-23-----","RL","1401",,"3633N 10412E",
,"CN","BUJ","Buji","Buji","GD","-23-----","RL","9805",,,
,"CN","BUR","Burang","Burang","XZ","--3-----","AS","1601",,,
,"CN","BXI","Boxing","Boxing","37","--3-----","RL","0901",,"3708N 11805E",
,"CN","BXS","Benxi","Benxi","LN","-----6--","AS","1407",,,
,"CN","BYA","Bayan","Bayan","HL","1-------","RL","1401",,"4605N 12724E",
,"CN","BYG","Baiyang","Baiyang","HB","1-------","RL","1401",,"3026N 11131E",
,"CN","BYI","Baoying","Baoying","32","--3-----","RL","0901",,"3313N 11918E",
,"CN","BYN","Binyang","Binyang","FJ","123-----","RL","1401",,"2715N 12020E",
,"CN","BYO","Bayan Obo","Bayan Obo","NM","-2------","RL","1401",,"4146N 10958E",
,"CN","BYQ","Bayuquan","Bayuquan","LN","1-------","AS","1407",,,
,"CN","BYU","Baiyun","Baiyun","GD","--3-----","RL","1401",,"2515N 11404E",
,"CN","BZG","Bozhong","Bozhong","TJ","1-----7-","AS","1401",,"3827N 11826E",
,"CN","BZN","Beizhen","Beizhen","21","-----6--","RL","0901",,"4126N 12143E",
,"CN","CAH","Changhua","Changhua","HI","1-------","RL","1401",,,
,"CN","CAN","Guangzhou Baiyun International Apt","Guangzhou Baiyun International Apt","GD","---4----","AS","1601",,,
,"CN","CAW","Chaiwan","Chaiwan","JS","--3-----","RL","0507",,"3228N 12033E",
,"CN","CBG","Chen Barag","Chen Barag","NM","1-------","RL","1401",,,
,"CN","CBI","Chibi","Chibi","HB","1-------","RL","1401",,,
,"CN","CCD","Changchun Xinglong","Changchun Xinglong","JL","-23-56--","AS","2101",,,
,"CN","CCH","Cicheng","Cicheng","ZJ","--3-----","RL","1401",,"2959N 12127E",
,"CN","CDH","Changdianhekou","Changdianhekou","LN","1-------","AS","1401",,"4025N 12448E",
,"CN","CDO","Changdao","Changdao","SD","--3-----","RL","0207",,"3755N 12044E",
,"CN","CDU","Chengdu","Chengdu","SC","-2-45---","AS","1601",,"3040N 10404E",
,"CN","CDZ","Chengdu Railway Station","Chengdu Railway Station","SC","-2------","AS","1601",,,
,"CN","CEK","Ceke","Ceke","NM","--3-----","AS","1401",,"4228N 10109E",
,"CN","CEX","Cenxi","Cenxi","45","--3-----","RL","0901",,"2254N 11049E",
,"CN","CFD","Caofeidian Pt","Caofeidian Pt","HE","1-------","AS","1401",,"3857N 11832E",
,"CN","CFF","Suidong","Suidong","HL","1-------","RL","1401",,,
,"CN","CFG","Ulan Had","Ulan Had","NM","-23--6--","RL","1401",,,
,"CN","CFS","Chifeng","Chifeng","NM","-----6--","AS","1407",,,
,"CN","CGB","Changbai","Changbai","JL","--3-----","AS","1601",,"4126N 12821E",
,"CN","CGC","Changchun","Changchun","JL","-2-45---","AS","1601",,"4354N 12519E",
,"CN","CGD","Changde","Changde","HN","-----6--","AS","2001",,"2902N 11151E",
,"CN","CGH","Chongzhou","Chongzhou","SC","--3-----","RQ","0907",,"3043N 10333E",
,"CN","CGI","Changliu","Changliu","HI","--3-----","RL","1401",,"2001N 11012E",
,"CN","CGJ","Changjing","Changjing","JS","1-------","RL","1401",,,
,"CN","CGM","Chongming","Chongming","SH","1-------","AS","1401",,"3138N 12124E",
,"CN","CGN","Cangnan","Cangnan","ZJ","--3-----","RQ","1001",,"2730N 12023E",
,"CN","CGO","Zhengzhou Xinzheng International Apt","Zhengzhou Xinzheng International Apt","HA","---4----","AS","1601",,,
,"CN","CGP","Changbang","Changbang","SH","--3-----","RL","0907",,"3055N 12101E",
,"CN","CGQ","Changchun Longjia International Apt","Changchun Longjia International Apt","JL","---4----","AS","1601",,,
