,"CR","CPL","Guápiles","Guapiles","L","--3-----","RL","0407",,"1013N 08347W",
,"CR","CPS","Pacayas","Pacayas","C","-----6--","RL","0901",,"0948N 08403W",
,"CR","CQA","Quesada","Quesada","A","--3-----","RQ","1101",,"1019N 08425W",
,"CR","CRL","Corralillo","Corralillo","C","--3-----","RL","1601",,"0948N 08402W",
,"CR","CRR","Curridabat","Curridabat","SJ","1----6--","RL","0901",,"0955N 08402W",
,"CR","CSC","Canas","Canas",,"---4----","RQ","0901",,,
,"CR","CTC","Moravia","Moravia","C","1----6--","RQ","1001",,"0951N 08326W",
,"CR","CUB","Curubandé","Curubande","G","--3-----","RL","1701",,"1043N 08525W",
,"CR","CUT","Cutris","Cutris","A","1-3-----","RL","1307",,"1041N 08422W",
,"CR","CYL","Coyol","Coyol","A","123--6--","RL","0307",,"1000N 08415W",
,"CR","CYR","Coyolar","Coyolar","A","-----6--","RL","1107",,"0954N 08434W",
,"CR","CZR","Cerro Cortez","Cerro Cortez","A","--3-----","RL","1807",,"1020N 08422W",
,"CR","DE2","Desamparados","Desamparados","SJ","--3-----","RL","1601",,"0954N 08404W",
,"CR","DOM","Dominical","Dominical","P","--3-----","RL","1207",,"0915N 08352W",
,"CR","ELS","El Silencio","El Silencio","G","--3-----","RL","1807",,"1029N 08455W",
,"CR","ENA","Santa Elena","Santa Elena","SJ","--3-----","RL","1301",,"0946N 08403W",
,"CR","ESC","Escazú","Escazu","SJ","--3-----","RL","0407",,"0955N 08408W",
,"CR","ESP","Esparza","Esparza","P","-23-----","RL","0407",,"0959N 08440W",
,"CR","FDF","Venecia","Venecia","L","--3-----","RL","1701",,"1002N 08314W",
,"CR","FIL","Filadelfia","Filadelfia","G","1-3--6--","RL","0401",,"1027N 08534W",
,"CR","FMG","Flamingo","Flamingo","G","---4----","RL","0907",,"1025N 08547W",
,"CR","FON","Fortuna","Fortuna","G","---4----","RL","0907",,"1040N 08513W",
,"CR","FPN","Fraijanes","Fraijanes","A","1-3--6--","RL","0401",,"1009N 08412W",
,"CR","FRA","Francia","Francia","L","--3--6--","RL","0901",,"1008N 08333W",
,"CR","GAC","Nacascolo","Nacascolo","G","--3-----","RL","1707",,"1038N 08541W",
,"CR","GCA","Guácima","Guacima","A","--3-----","RL","1601",,"0958N 08415W",
,"CR","GDA","Guardia","Guardia","G","1-3--6--","RL","0401",,"1034N 08536W",
,"CR","GDP","Golfo de Papagayo","Golfo de Papagayo","G","1-3-----","RL","0407",,"1036N 08541W",
,"CR","GHA","Quebrada Honda","Quebrada Honda","G","--3-----","RL","1707",,"1011N 08518W",
,"CR","GLF","Golfito","Golfito","P","1-34----","AI","0407",,"0839N 08309W",
,"CR","GMI","Grecia","Grecia","A","--3-----","RL","0407",,"1004N 08419W",
,"CR","GTS","Guatuso","Guatuso","SJ","-----6--","RQ","1007",,"0951N 08422W",
,"CR","GUA","Guatuso","Guatuso","C","1-3--6--","RL","1101",,"1040N 08449W",
,"CR","GUC","Guacimo","Guacimo","L","--3-----","RL","0507",,"1013N 08341W",
,"CR","HCD","Hacienda Coronado","Hacienda Coronado","A","--3-----","RL","1707",,"1024N 08430W",
,"CR","HDA","Herradura","Herradura","P","--3-----","RL","2001",,"0940N 08438W",
,"CR","HER","Heredia","Heredia","H","-23-----","RL","0407",,"1000N 08407W",
,"CR","HSA","Horluetas/Sarapiqui","Horluetas/Sarapiqui","H","1----6--","RQ","0901",,"1029N 08401W",
,"CR","HSB","Santa Barbaraa","Santa Barbaraa","H","-----6--","RL","1107",,,
,"CR","JAB","Jabillos","Jabillos","A","--3-----","RL","1407",,"1023N 08433W",
,"CR","JAC","Jacó","Jaco","P","--3-----","RL","0501",,"0937N 08438W",
,"CR","JAP","Punta Renes","Punta Renes",,"---4----","RL","0907",,"1057N 08551W",
,"CR","JAR","Jaris","Jaris","SJ","--3-----","RL","1107",,"0952N 08417W",
,"CR","JIC","Jicaral","Jicaral","P","1-3-----","RL","0401",,"0958N 08507W",
,"CR","JIM","Jimenez","Jimenez","L","--3-----","RQ","0607",,"1013N 08343W",
,"CR","L6G","Parismina","Parismina","L","--3-----","RL","1501",,"1012N 08338W",
,"CR","LAA","Lagunilla","Lagunilla","H","--3-----","RL","1601",,"0958N 08407W",
,"CR","LAF","La Fortuna","La Fortuna","A","1-3--6--","RL","0401",,"1029N 08439W",
,"CR","LAG","La Garita","La Garita","A","--3-----","RL","1301",,"0959N 08420W",
,"CR","LAN","La Asunción","La Asuncion","H","--3-----","RL","1501",,"0959N 08410W",
,"CR","LAV","La Virgen","La Virgen","H","--3-----","RL","1207",,"1025N 08409W",
,"CR","LCO","La Ceiba de Orotina","La Ceiba de Orotina","A","--3-----","RL","1301",,"0954N 08431W",
,"CR","LCS","Las Canas","Las Canas",,"---4----","RQ","0901",,,
,"CR","LCZ","La Cruz","La Cruz","G","--3-----","RQ","0901",,"1104N 08538W",
,"CR","LEG","Legua","Legua","A","--3-----","RQ","1007",,"1032N 08417W",
,"CR","LGR","Llano Grande","Llano Grande","C","--3-----","RL","1601",,"0956N 08354W",
,"CR","LHS","Las Huacas","Las Huacas","G","--3-----","RL","0901",,"1002N 08520W",
,"CR","LIM","Limonal","Limonal","G","--3-----","RQ","0901",,"1014N 08501W",
,"CR","LIO","Puerto Limón","Puerto Limon","L","1-3-----","AI","0407",,"1000N 08302W",
,"CR","LIR","Liberia","Liberia","G","--34----","AI","0407",,"1038N 08526W",
,"CR","LLA","Limon Via Turrialba","Limon Via Turrialba","L","-----6--","RL","0901",,"1010N 08337W",
,"CR","LLC","La Lucha","La Lucha","P","--3-----","RL","0407",,"0853N 08249W",
,"CR","LMN","Limon","Limon","SJ","-----6--","RQ","1001",,"0944N 08421W",
,"CR","LPT","Lepanto","Lepanto","P","--3-----","RL","1601",,"0957N 08502W",
,"CR","LSL","Los Chiles","Los Chiles","A","--34----","AI","0407",,"1102N 08443W",
,"CR","LTA","Tigra","Tigra","A","--3-----","RL","1101",,"1021N 08436W",
,"CR","LUC","La Uruca","La Uruca",,"--3-----","RQ","0901",,,
,"CR","MAO","Matapalo","Matapalo","P","--3-----","RL","1301",,"0920N 08358W",
,"CR","MAT","Matina","Matina","L","1-------","RQ","0901",,,
,"CR","MMR","Miramar","Miramar","P","--3-----","RL","1301",,"1006N 08444W",
,"CR","MOB","Moín","Moin","L","1-3-----","RL","0407",,"1000N 08305W",
,"CR","MSN","Mansión","Mansion","G","-23-----","RL","1401",,"1006N 08522W",
,"CR","MTZ","San Marcos de Tarrazu","San Marcos de Tarrazu","SJ","1----6--","RL","0901",,"0940N 08402W",
,"CR","MUE","Muelle de San Carlos","Muelle de San Carlos","A","1-3--6--","RL","0401",,"1028N 08428W",
,"CR","NAN","Nandayure","Nandayure","G","1-3--6--","RL","0401",,"1002N 08512W",
,"CR","NAR","Naranjo","Naranjo","SJ","1-3--6--","RL","0401",,"1006N 08423W",
,"CR","NCT","Nicoya","Nicoya","G","--34----","AI","0407",,"1009N 08527W",
,"CR","NOB","Nosara Beach","Nosara Beach","G","---4----","RL","0907",,"0958N 08539W",
,"CR","OGE","Potrero Grande","Potrero Grande","P","--3-----","RL","1307",,"0901N 08311W",
,"CR","OJO","Ojochal","Ojochal","P","--3-----","RL","1907",,"1004N 08442W",
,"CR","OMO","Ochomogo","Ochomogo","C","-----6--","RL","1201",,"0954N 08357W",
,"CR","ORE","Oreamuno","Oreamuno","C","--3-----","RL","1207",,"0952N 08354W",
,"CR","ORO","Orotina","Orotina","A","1-3--6--","RL","0401",,"0954N 08432W",
,"CR","OSI","Orosi","Orosi","C","--3-----","RL","1301",,"0948N 08351W",
,"CR","OTR","Coto 47","Coto 47","P","---4----","RL","0907",,"0836N 08258W",
,"CR","PAL","Palmares","Palmares","SJ","--3--6--","RL","0401",,"0919N 08340W",
,"CR","PAM","Palmares","Palmares","A","--3--6--","RL","0401",,"1003N 08426W",
,"CR","PAN","Palmar Norte","Palmar Norte","P","1-3--6--","RL","0401",,"0858N 08328W",
,"CR","PAR","Parrita","Parrita","P","123-----","RL","0507",,"0931N 08419W",
,"CR","PAS","Puntarenas","Puntarenas","P","123-----","AI","0407",,"0958N 08450W",
,"CR","PBP","Punta Islita","Punta Islita","G","---4----","RL","0907",,"0951N 08522W",
,"CR","PBS","Peñas Blancas","Penas Blancas","A","--3-----","RL","1301",,"1004N 08437W",
,"CR","PCL","Playa Conchal","Playa Conchal","G","-----6--","RL","1007",,"1024N 08548W",
,"CR","PCS","Pocosol","Pocosol","A","--3-----","RL","1601",,"1022N 08437W",
,"CR","PEJ","Pejibaye","Pejibaye","SJ","-----6--","RL","1201",,"0910N 08334W",
,"CR","PEN","Penshurst","Penshurst","L","1-------","RQ","0901",,,
