,"PR","NRR","Roosevelt Roads","Roosevelt Roads",,"---4----","AI","0001",,,
,"PR","NXL","Noxell","Noxell",,"0-------","RQ","9307",,,
,"PR","OPO","Orocovis","Orocovis",,"--3-----","RL","1501",,"1813N 06623W",
,"PR","PDT","Puerta de Tierra","Puerta de Tierra",,"--3-----","RL","1801",,"1827N 06605W",
,"PR","PEN","Penuelas","Penuelas",,"0-------","RQ","9307",,,
,"PR","PJO","Puerto de Jobos","Puerto de Jobos",,"1-------","RL","0212",,"1757N 06611W",
,"PR","PNU","Puerto Nuevo","Puerto Nuevo",,"0-------","RQ","9307",,,
,"PR","PSE","Ponce","Ponce",,"1--4----","AI","9601",,,
,"PR","PTL","Patillas","Patillas",,"--3-----","RL","0207",,"1800N 06600W",
,"PR","PYA","Puerto Yabucoa","Puerto Yabucoa",,"1-------","RL","0212",,"1803N 06550W",
,"PR","QUE","Quebradillas","Quebradillas",,"--3-----","RL","1807",,"1828N 06656W",
,"PR","RGD","Río Grande","Rio Grande",,"--3--6--","RL","0501",,"1822N 06549W",
,"PR","RIN","Rincon","Rincon",,"--3-----","RQ","0607",,"1803N 06633W",
,"PR","RPS","Rio Piedras","Rio Piedras",,"0-------","RQ","9307",,,
,"PR","SAL","Salinas","Salinas",,"1-------","RL","1107",,"1758N 06615W",
,"PR","SBS","San Sebastián","San Sebastian",,"1-------","RL","1201",,"1818N 06658W",
,"PR","SGM","San Germán","San German",,"--3-----","RL","0201",,"1804N 06702W",
,"PR","SGR","Sabana Grande","Sabana Grande",,"0-------","RQ","9307",,,
,"PR","SIS","Santa Isabel","Santa Isabel",,"--3-----","RL","0201",,"1757N 06624W",
,"PR","SJU","San Juan","San Juan",,"1--45---","AI","1101","SIG","1827N 06605W",
,"PR","SLP","San Lorenzo","San Lorenzo",,"--3-----","AA","1601",,"1811N 06558W",
,"PR","SSA","Sabana Seca","Sabana Seca",,"--3-----","RL","1801",,"1826N 06615W",
,"PR","TAA","Toa Alta","Toa Alta",,"--3-----","RL","0901",,"1823N 06615W",
,"PR","TBJ","Toa Baja","Toa Baja",,"0-------","RQ","9307",,,
,"PR","TOT","Tottillas","Tottillas",,"0-------","RQ","9307",,,
,"PR","TRJ","Trujillo Alto","Trujillo Alto",,"--3-----","RL","0901",,"1821N 06600W",
,"PR","TRU","Trujillo Bajo, Carolina","Trujillo Bajo, Carolina",,"--3--6--","RL","0501",,"1822N 06557W",
,"PR","UTU","Utuado","Utuado",,"--3-----","RL","0212",,"1816N 06642W",
,"PR","VAL","Vega Alta","Vega Alta",,"--3-----","RQ","9307",,,
,"PR","VBA","Vega Baja","Vega Baja",,"--3-----","RQ","9307",,,
,"PR","VIL","Villalba","Villalba",,"--3-----","RL","1807",,"1807N 06629W",
,"PR","VQS","Vieques","Vieques",,"---4----","AI","9601",,,
,"PR","YAB","Yabucoa","Yabucoa",,"--3-----","RQ","9501",,,
,"PR","YAU","Yauco","Yauco",,"--3-----","RQ","9307",,,
