,"NI","SBT","San Benito (Tipitapa)","San Benito (Tipitapa)","MN","-----6--","RQ","1007",,"1219N 08604W",
,"NI","SDC","Ciudad Sandino","Ciudad Sandino","MN","--3-----","RL","1607",,"1209N 08620W",
,"NI","SEB","Sï¿½baco","Sebaco","MT","--3-----","RL","0307",,"1251N 08605W",
,"NI","SFL","San Francisco Libre","San Francisco Libre","MN","--3--6--","RL","0307",,"1230N 01618W",
,"NI","SIU","Siuna","Siuna",,"---4----","AI","9601",,,
,"NI","SJC","San Juan Rio Coco","San Juan Rio Coco","MD","--3-----","RL","1501",,"1333N 08610W",
,"NI","SJO","San Juan de Oriente","San Juan de Oriente","MS","--3-----","RL","1301",,"1154N 08605W",
,"NI","SJS","San Juan del Sur","San Juan del Sur",,"1-------","AI","9401",,,
,"NI","SLO","San Lorenzo","San Lorenzo","BO","--3-----","RL","0901",,"1223N 08540W",
,"NI","SMR","San Marcos","San Marcos","CA","--3-----","RL","1407",,"1155N 08612W",
,"NI","SOM","Somoto","Somoto","MD","--3-----","RL","0901",,"1329N 08635W",
,"NI","SRN","San Rafael del Norte","San Rafael del Norte","JI","--3-----","RL","0901",,"1313N 08607W",
,"NI","SRS","San Rafael del Sur","San Rafael del Sur","MN","-----6--","RL","1401",,"1151N 08627W",
,"NI","TEU","Teustepe","Teustepe",,"--3-----","RL","0607",,"1223N 08547W",
,"NI","TIM","Tisma","Tisma","MS","--3-----","RL","2001",,"1205N 08601W",
,"NI","TLN","Tola","Tola",,"-----6--","RQ","1001",,"1126N 08556W",
,"NI","TPA","Tipitapa","Tipitapa","MN","1-3-----","RL","0901",,"1212N 08606W",
,"NI","VEC","Villa El Carmen","Villa El Carmen","MN","--3-----","RL","1701",,"1159N 08631W",
"+","NI","VSA","Villa Sandino","Villa Sandino","CO","--3-----","AM","2207",,"1203N 08459W",
,"NI","WAS","Waslala","Waslala","AN","--3-----","RL","0901",,"1314N 08523W",
,"NI","WSP","Waspam","Waspam",,"---4----","AI","9601",,,
,"NI","ZEO","El Viejo","El Viejo","CI","-----6--","RL","0901",,"1240N 08710W",
,"NI","ZLI","Libertad-Chontales","Libertad-Chontales","CO","-----6--","RL","0901",,"1213N 08510W",
,"NI","ZLS","Los Brasiles","Los Brasiles","MN","-----6--","RL","0901",,"1216N 08556W",
,"NI","ZMN","Mina el Limon","Mina el Limon","CI","-----6--","RL","0901",,"1245N 08644W",
