,"MA",,".MOROCCO",,,,,,,,
,"MA","4DM","Dar Bou Azza","Dar Bou Azza","MEK","--3-----","RL","1407",,"3345N 00524W",
,"MA","6KN","Souq Larb'A Al Gharb","Souq Larb'A Al Gharb","KEN","1----6--","AA","1601",,"3440N 00558W",
,"MA","6KS","Sidi Slimane","Sidi Slimane","KEN","--3-----","RL","1501",,"3415N 00555W",
,"MA","8FT","Tit Mellil","Tit Mellil","MED","--3-----","RL","1407",,"3333N 00728W",
,"MA","AAR","Al Aaroui","Al Aaroui","NAD","--3-----","RL","1801",,"3500N 00301W",
,"MA","AGA","Agadir","Agadir",,"1--4----","AI","9601",,,
,"MA","AHU","Al Hoceïma","Al Hoceima",,"1--4----","AI","0212",,"3515N 00356W",
,"MA","AKH","Akhfennir","Akhfennir","TAF","--3-----","AM","2207",,"2805N 01203W",
,"MA","AMZ","Amizmiz","Amizmiz","HAO","--3-----","RL","2001",,"3113N 00815W",
,"MA","ANZ","Anza","Anza","AGD","1-3-----","RL","1401",,"3027N 00939W",
,"MA","ASE","Aïn Sebaa","Ain Sebaa","CAS","-23-----","RL","0501",,"3336N 00732W",
,"MA","ASI","Asilah","Asilah",,"1-------","QQ","8103",,,
,"MA","AZE","Azemmour","Azemmour",,"1-------","QQ","8103",,,
"+","MA","AZL","Azilal","Azilal","05","--3-----","AM","2301",,"3158N 00634W",
,"MA","AZR","Azrou","Azrou",,"--3-----","RQ","9501",,,
,"MA","BAH","Ait Baha","Ait Baha","TIZ","--3-----","RL","0901",,"2933N 00858W",
,"MA","BED","Berrechid","Berrechid",,"--3-----","RQ","9501",,,
,"MA","BEM","Beni Mellal","Beni Mellal",,"--3-----","RQ","9501",,,
,"MA","BEN","Benguerir","Benguerir","KES","--3-----","RL","0307",,"3214N 00757W",
,"MA","BER","Berkane","Berkane",,"--3-----","RQ","9501",,,
,"MA","BES","Ben Slimane","Ben Slimane","BES","--3-----","RQ","0907",,"3336N 07071W",
,"MA","BFK","Boufakrane","Boufakrane","MEK","--3-----","RQ","1101",,"3345N 00529W",
,"MA","BJJ","Bir Jdid","Bir Jdid","JDI","--3-----","RL","1407",,"3322N 00759W",
,"MA","BOS","Bouskoura","Bouskoura","AGD","-23-----","RL","0901",,"3326N 00738W",
,"MA","BOU","Bouznika","Bouznika",,"--3-----","RQ","9501",,,
,"MA","BRE","Breich","Breich",,"0-------","RQ","9307",,,
,"MA","BUJ","Boujdour","Boujdour","BOD","1-3-----","AM","2201",,"2608N 01429W",
,"MA","BUL","Boulaouane","Boulaouane","JDI","--3-----","RL","1007",,"3252N 00803W",
,"MA","CAS","Casablanca","Casablanca","CAS","1--45---","AI","1101","CMN","3335N 00736W",
,"MA","CMN","Mohammed V International Airport","Mohammed V International Airport","08","---4----","RL","1307",,"3322N 00735W",
,"MA","D2V","Ar Rommani","Ar Rommani","KHE","1----6--","AA","1601",,"3331N 00636W",
,"MA","ELG","El Gara","El Gara","SET","--3-----","RL","2001",,"3316N 00714W",
,"MA","ELH","El Hajeb","El Hajeb","MEK","--3-----","RL","2001",,"3342N 00522W",
