,"DO","POP","Puerto Plata","Puerto Plata",,"1-------","AI","9601",,,
,"DO","PUD","Puerto Duarte","Puerto Duarte",,"0-------","RQ","9506",,,
,"DO","PUJ","Punta Cana Apt","Punta Cana Apt",,"--34----","RL","0601",,"1834N 06821W",
,"DO","PUO","Puerto Libertador","Puerto Libertador",,"1-------","QQ","8103",,,
,"DO","PVA","Puerto Viejo de Azua","Puerto Viejo de Azua",,"1-------","RL","0212",,"1820N 07050W",
,"DO","SAL","Salcedo","Salcedo",,"--3-----","RQ","0607",,"1925N 07023W",
,"DO","SAM","Santa Bárbara de Samaná","Santa Barbara de Samana",,"--3-----","RL","0207",,"1912N 06919W",
,"DO","SCL","San Carlos","San Carlos",,"-----6--","RL","1107",,"1829N 06954W",
,"DO","SCR","San Cristobal","San Cristobal",,"--3-----","RQ","9501",,,
,"DO","SDD","Hainamosa","Hainamosa","32","-----6--","RL","0901",,"1831N 06950W",
,"DO","SDQ","Santo Domingo","Santo Domingo","01","1-345---","AI","0307",,"1828N 06954W",
,"DO","SFN","San Francisco de Macorís","San Francisco de Macoris",,"1-------","RL","0212",,"1918N 07015W",
,"DO","SFP","San Felipe","San Felipe","01","--3-----","RL","1307",,"1835N 06955W",
,"DO","SIO","San Isidro","San Isidro","01","-----6--","RL","1007",,"1832N 06946W",
,"DO","SIS","San Ignacio Sabaneta","San Ignacio Sabaneta",,"--3-----","RQ","0607",,"1928N 07120W",
,"DO","SJM","San Juan de la Maguana","San Juan de la Maguana",,"--3-----","RL","0106",,"1848N 07113W",
,"DO","SJO","San José de Ocoa","San Jose de Ocoa","17","--3-----","RL","1101",,"1833N 07030W",
,"DO","SLT","Las Terrenas","Las Terrenas","20","--3-----","RL","1207",,"1919N 06932W",
,"DO","SNX","Sabana de la Mar","Sabana de la Mar",,"1--4----","AI","0212",,"1904N 06923W",
,"DO","SNZ","Sánchez","Sanchez",,"123-----","RL","0701",,"1914N 06937W",
,"DO","SPM","San Pedro de Macorís","San Pedro de Macoris",,"1-------","AI","0212",,"1827N 06918W",
,"DO","SSU","Sosúa","Sosua","18","--3-----","RL","1301",,"1945N 07031W",
,"DO","STI","Santiago de los Caballeros","Santiago de los Caballeros",,"1-3-----","RL","9805",,,
,"DO","TDR","Tamboril","Tamboril","25","--3-----","RL","1601",,"1929N 07036W",
,"DO","VAL","Villa Altagracia","Villa Altagracia","21","1-3-----","RL","0407",,"1840N 07010W",
,"DO","VGZ","Villa Gonzalez","Villa Gonzalez","25","-----6--","RQ","1001",,"1932N 07047W",
,"DO","VML","Villa Mella","Villa Mella","01","-----6--","RL","1007",,"1833N 06954W",
,"DO","VVA","Villa Vásquez","Villa Vasquez","15","--3-----","RL","1601",,"1945N 07127W",
